LayDay,zscore_SAM,center_year,penguinseq
282,1.7432207485073794,-13,1034
290,1.7432207485073794,-13,3848
281,1.7432207485073794,-13,2135
288,1.7432207485073794,-13,8164
293,1.7432207485073794,-13,1475
294,1.7432207485073794,-13,1204
299,1.7432207485073794,-13,1748
292,1.7432207485073794,-13,2437
284,1.7432207485073794,-13,2694
280,1.7432207485073794,-13,1271
288,1.7432207485073794,-13,1054
287,1.7432207485073794,-13,8044
281,1.7432207485073794,-13,849
281,1.7432207485073794,-13,2533
290,1.7432207485073794,-13,1503
282,1.7432207485073794,-13,1986
291,1.7432207485073794,-13,1909
288,1.7432207485073794,-13,1058
286,1.7432207485073794,-13,2354
290,1.7432207485073794,-13,2721
294,1.7432207485073794,-13,1203
294,1.7432207485073794,-13,2745
286,1.7432207485073794,-13,1192
287,1.7432207485073794,-13,7812
277,1.7432207485073794,-13,2643
292,1.7432207485073794,-13,8155
292,1.7432207485073794,-13,2557
284,1.7432207485073794,-13,1894
284,1.7432207485073794,-13,1984
290,1.7432207485073794,-13,2438
284,1.7432207485073794,-13,1379
281,1.7432207485073794,-13,7932
288,1.7432207485073794,-13,1759
287,1.7432207485073794,-13,8434
286,1.7432207485073794,-13,2416
287,1.7432207485073794,-13,2134
287,1.7432207485073794,-13,2682
283,1.7432207485073794,-13,1410
290,1.7432207485073794,-13,2016
286,1.7432207485073794,-13,2662
286,1.7432207485073794,-13,1521
283,1.7432207485073794,-13,2711
284,1.7432207485073794,-13,2696
282,1.7432207485073794,-13,1218
284,1.7432207485073794,-13,1055
292,1.7432207485073794,-13,2675
293,1.7432207485073794,-13,1177
290,1.7432207485073794,-13,1222
291,1.7432207485073794,-13,972
296,1.7432207485073794,-13,1984
284,1.7432207485073794,-13,8383
296,1.7432207485073794,-13,2522
280,1.7432207485073794,-13,2604
284,1.7432207485073794,-13,1748
290,1.7432207485073794,-13,1505
282,1.7432207485073794,-13,1432
287,1.7432207485073794,-13,2749
287,1.7432207485073794,-13,2024
285,1.7432207485073794,-13,2140
286,1.7432207485073794,-13,2609
281,1.7432207485073794,-13,1162
283,1.7432207485073794,-13,2738
290,1.7432207485073794,-13,1039
287,1.7432207485073794,-13,1504
287,1.7432207485073794,-13,1264
296,1.7432207485073794,-13,2061
281,1.7432207485073794,-13,2798
286,1.7432207485073794,-13,2474
290,1.7432207485073794,-13,8155
280,1.7432207485073794,-13,2577
289,1.7432207485073794,-13,1910
287,1.7432207485073794,-13,2607
304,1.7432207485073794,-13,1899
292,1.7432207485073794,-13,2638
283,1.7432207485073794,-13,7864
289,1.7432207485073794,-13,1460
283,1.7432207485073794,-13,2726
282,1.7432207485073794,-13,2579
292,1.7432207485073794,-13,1038
285,1.7432207485073794,-13,2063
286,1.7432207485073794,-13,1905
294,1.7432207485073794,-13,1026
273,-0.8101141020574487,-12,2713
284,-0.8101141020574487,-12,8117
281,-0.8101141020574487,-12,8371
281,-0.8101141020574487,-12,7937
