MaxTripDistance,zscore_climate,center_year,sex,penguinseq
106.92,-0.2997635400415789,8,M,133757
71.84,0.4060060265419609,8,M,133757
76.17,0.6040810376922182,9,M,163918
58.04,1.5678513645312635,9,M,163918
62.97,1.4307051172661145,9,M,163918
79.42,1.5019548803856064,9,M,163918
73.37,1.2651735690924726,9,M,163918
91.38,0.5907418005816975,9,M,163918
109.23,0.6095976146684909,9,M,163918
88.13,0.5147921412380811,9,M,163918
53.28,0.6040810376922182,9,M,163922
58.73,1.5678513645312635,9,M,163922
61.35,1.4307051172661145,9,M,163922
83.65,1.2741010968999866,9,M,163922
48.58,0.8777522760020592,9,M,163922
45.05,0.5941890955779937,9,M,163922
63.07,0.537701290585946,9,M,163922
51.03,0.9615750717499538,9,M,163922
71.47,1.272315670083089,9,M,163922
62.69,1.0932515346671519,9,M,163922
65.58,1.1036722898215654,9,M,163922
38.98,1.1163911375643671,9,M,163922
75.12,1.4090422923163581,9,M,163922
68.85,1.8119415210207708,9,M,163922
85.85,1.4135880687779723,9,M,163922
73.29,1.2201036861442414,9,M,163922
72.76,0.6040810376922182,9,M,163929
65.79,1.5019548803856064,9,M,163929
86.16,1.2651735690924726,9,M,163929
62.43,0.5907418005816975,9,M,163929
72.52,0.6095976146684909,9,M,163929
77.54,0.537701290585946,9,M,163929
118.19,1.0128369819608294,9,M,163929
68.27,1.0882179653585335,9,M,163929
80.68,1.3478553809934393,9,M,163929
91.72,1.4090422923163581,9,M,163929
129.63,1.5305516574764326,9,M,163929
85.63,1.5103046999809944,9,M,163932
69.87,1.2741010968999866,9,M,163932
60,0.8777522760020592,9,M,163932
74.1,0.5941890955779937,9,M,163932
64.57,0.537701290585946,9,M,163932
51.38,0.5147921412380811,9,M,163932
71.98,1.1932048089781744,10,M,163932
108.37,-0.1687525615579591,10,F,163934
80.24,0.03967094440605326,10,F,163934
83.74,0.6023140897755793,10,F,163934
103.6,1.3504140201395454,10,F,163934
71.23,1.5924438548807438,10,F,163934
98.02,1.041591912184039,10,F,163934
99.09,0.4758764542681639,10,F,163934
82.6,-0.557272967990023,10,F,163934
108.06,-0.5773738009703572,10,F,163934
73.83,1.5103046999809944,9,M,163939
67.22,1.5019548803856064,9,M,163939
80.39,1.2651735690924726,9,M,163939
65.88,0.5941890955779937,9,M,163939
84.1,0.39976823581865284,9,M,163939
75.26,0.9615750717499538,9,M,163939
87.73,1.11609411331188,9,M,163939
113.01,1.0882179653585335,9,M,163939
83.65,1.1163911375643671,9,M,163939
101.5,1.4090422923163581,9,M,163939
105.76,1.8119415210207708,9,M,163939
69.93,1.430684585733393,9,M,163941
74.91,1.2651735690924726,9,M,163941
52.19,0.5941890955779937,9,M,163941
114.24,0.6095976146684909,9,M,163941
54.83,0.9615750717499538,9,M,163941
56.44,1.5678513645312635,9,M,163943
67.61,1.430684585733393,9,M,163943
60.79,1.2741010968999866,9,M,163943
65.44,0.8777522760020592,9,M,163943
83.5,0.5941890955779937,9,M,163943
109.44,1.430684585733393,9,M,163950
127.71,1.2651735690924726,9,M,163950
112.81,0.6095976146684909,9,M,163950
91.03,0.949724592279527,9,M,163950
106.21,1.11609411331188,9,M,163950
92.77,1.1036722898215654,9,M,163950
102.45,1.1163911375643671,9,M,163950
106.88,1.5305516574764326,9,M,163950
88.87,-1.839275621661641,-9,M,17691
76.7,-1.8939612274752802,-9,M,17691
47.85,-1.59041193803715,-9,M,17691
91,-1.174150463516792,-9,M,17691
134.01,-1.201604234225682,-9,M,17691
176.13,0.6023140897755793,10,F,179982
89.3,1.481230940399499,10,F,179982
85.25,1.0052060530870122,10,F,179982
114.97,0.5989361248217401,10,F,179982
116.23,-0.6733072754000524,10,F,179982
119.03,-0.5773738009703572,10,F,179982
58.53,0.6023140897755793,10,M,179983
99.01,1.1932048089781744,10,M,179983
102.92,1.481230940399499,10,M,179983
106.84,1.041591912184039,10,M,179983
122.52,0.0556271414409505,10,M,179983
76.3,-0.1687525615579591,10,F,204988
87.28,0.04683691778839437,10,F,204988
156.87,0.6023140897755793,10,F,204988
110.4,1.481230940399499,10,F,204988
95.31,1.041591912184039,10,F,204988
81.78,0.0556271414409505,10,F,204988
109.11,-0.557272967990023,10,F,204988
48.97,0.04683691778839437,10,M,204990
67.85,0.006681400513851913,10,M,204990
74.86,0.7308574479531509,10,M,204990
65.61,1.3504140201395454,10,M,204990
80.27,1.481230940399499,10,M,204990
118.37,1.041591912184039,10,M,204990
37.08,0.08288025376236546,10,M,204994
66.53,0.03967094440605326,10,M,204994
45.92,0.6023140897755793,10,M,204994
139.49,1.1932048089781744,10,M,204994
91.6,1.5924438548807438,10,M,204994
52.14,0.03967094440605326,10,M,204995
71.21,0.6023140897755793,10,M,204995
44.59,1.4245966365176443,10,M,204995
45.91,1.5924438548807438,10,M,204995
130.35,1.041591912184039,10,M,204995
25.31,0.04683691778839437,10,F,205012
77.78,1.481230940399499,10,F,205012
